X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
"-8596292.25644189,4707990.47853059,Madron Ln & Bermudez Ct,classic,83fa4699-b2ee-4f14-af3b-167f34a62fb4,,2024/10/22 07:05:34+00,4,0,7,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,""KEY,CREDITCARD"",104,DCA-CABI,,38.904415,-77.221807,2024/10/22 07:07:28+00,217277771"
"-8582233.19685254,4709727.75070314,48th Pl & MacArthur Blvd NW,classic,e07eed7c-2d2a-4f13-aff7-2be6500958f7,,2024/10/22 07:05:33+00,1,0,17,8,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,""KEY,CREDITCARD"",42,DCA-CABI,,38.916561,-77.095513,2024/10/22 07:07:28+00,217277772"
"-8576252.10223514,4708083.96143977,18th & M St NW,classic,08249ef2-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:05:33+00,15,0,11,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,27,""KEY,CREDITCARD"",42,DCA-CABI,,38.905067,-77.041779,2024/10/22 07:07:28+00,217277773"
"-8580181.41622333,4713630.49395575,39th & Veazey St NW,classic,082544b7-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:05:32+00,15,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,""KEY,CREDITCARD"",42,DCA-CABI,,38.943837,-77.077078,2024/10/22 07:07:28+00,217277774"
"-8581181.35282128,4706391.22431163,N Veitch St & Key Blvd,classic,082524a2-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:05:32+00,11,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,""KEY,CREDITCARD"",41,DCA-CABI,,38.893237,-77.086063,2024/10/22 07:07:28+00,217277775"
"-8575333.02416113,4707644.92449518,15th & K St NW,classic,08253b2b-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:05:31+00,26,0,0,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,27,""KEY,CREDITCARD"",42,DCA-CABI,,38.902,-77.03353,2024/10/22 07:07:28+00,217277776"
"-8573302.70421154,4707274.3631845,3rd & H St NW,classic,082493a5-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:05:35+00,6,0,8,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,""KEY,CREDITCARD"",42,DCA-CABI,,38.899408,-77.015289,2024/10/22 07:07:28+00,217277777"
"-8575920.04172534,4711922.40114644,Lamont & Mt Pleasant NW,classic,082477f4-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:05:35+00,4,0,18,17,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,""KEY,CREDITCARD"",42,DCA-CABI,,38.9319,-77.0388,2024/10/22 07:07:28+00,217277778"
"-8571722.82557521,4696144.95895894,South Capitol St and Southern Ave SE,classic,9973e0f4-23dd-4b50-9ef4-8408fa8a1105,,2024/10/22 07:05:31+00,12,0,3,3,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,""KEY,CREDITCARD"",42,DCA-CABI,,38.821563,-77.001095,2024/10/22 07:07:28+00,217277779"
"-8581041.13813815,4706016.42958102,Court House Metro / 15th St & N Uhle St,classic,0825fa8b-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:05:42+00,14,0,5,4,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,21,""KEY,CREDITCARD"",41,DCA-CABI,,38.890612,-77.084801,2024/10/22 07:07:28+00,217277780"
